year,moth,day,phenomenon,weather_condition,min_temp,med_temp,max_temp,city
2020,9,8,Nessuno ,poco nuvoloso ,15 °C ,21 °C ,28 °C ,Mantova
2020,9,9,Nessuno ,sereno ,16 °C ,22 °C ,28 °C ,Mantova
2020,9,10,Nessuno ,sereno ,17 °C ,23 °C ,29 °C ,Mantova
2020,9,11,Nessuno ,poco nuvoloso ,18 °C ,24 °C ,30 °C ,Mantova
2020,9,12,Nessuno ,sereno ,18 °C ,24 °C ,30 °C ,Mantova
2020,9,13,Nessuno ,sole e caldo ,18 °C ,24 °C ,31 °C ,Mantova
2020,9,14,Nessuno ,poco nuvoloso ,18 °C ,24 °C ,30 °C ,Mantova
2020,9,15,Nessuno ,poco nuvoloso ,17 °C ,24 °C ,30 °C ,Mantova
2020,9,16,Nessuno ,poco nuvoloso ,18 °C ,24 °C ,30 °C ,Mantova
2020,9,17,Nessuno ,poco nuvoloso ,17 °C ,24 °C ,31 °C ,Mantova
2020,9,18,Nessuno ,sereno ,17 °C ,23 °C ,29 °C ,Mantova
2020,9,19,Nessuno ,poco nuvoloso ,16 °C ,20 °C ,24 °C ,Mantova
2020,9,20,Nessuno ,poco nuvoloso ,14 °C ,19 °C ,25 °C ,Mantova
2020,9,21,Pioggia - Temporale  ,temporale e schiarite ,16 °C ,21 °C ,27 °C ,Mantova
2020,9,22,Pioggia - Temporale  ,temporale e schiarite ,17 °C ,19 °C ,25 °C ,Mantova
2020,9,23,Pioggia  ,pioggia e schiarite ,16 °C ,19 °C ,24 °C ,Mantova
2020,9,24,Pioggia - Temporale  ,temporale e schiarite ,14 °C ,19 °C ,25 °C ,Mantova
2020,9,25,Pioggia - Temporale  ,pioggia e schiarite ,14 °C ,18 °C ,25 °C ,Mantova
2020,9,26,Pioggia  ,poco nuvoloso ,11 °C ,16 °C ,22 °C ,Mantova
2020,9,27,Pioggia  ,poco nuvoloso ,9 °C ,13 °C ,18 °C ,Mantova
2020,9,28,Nessuno ,poco nuvoloso ,11 °C ,14 °C ,20 °C ,Mantova
2020,9,29,Nessuno ,poco nuvoloso ,7 °C ,14 °C ,21 °C ,Mantova
2020,9,30,Nebbia  ,poco nuvoloso ,10 °C ,15 °C ,21 °C ,Mantova
2020,10,1,Nessuno ,poco nuvoloso ,12 °C ,17 °C ,21 °C ,Mantova
2020,10,2,Pioggia  ,pioggia e schiarite ,15 °C ,17 °C ,20 °C ,Mantova
2020,10,3,Pioggia  ,pioggia e schiarite ,12 °C ,18 °C ,30 °C ,Mantova
2020,10,4,Pioggia  ,pioggia e schiarite ,9 °C ,14 °C ,22 °C ,Mantova
2020,10,5,Pioggia  ,pioggia e schiarite ,11 °C ,15 °C ,20 °C ,Mantova
2020,10,6,Nessuno ,poco nuvoloso ,8 °C ,14 °C ,21 °C ,Mantova
2020,10,7,Pioggia - Temporale  ,poco nuvoloso ,12 °C ,16 °C ,21 °C ,Mantova
2020,10,8,Nessuno ,sereno ,8 °C ,15 °C ,22 °C ,Mantova
2020,10,9,Nessuno ,sereno ,9 °C ,14 °C ,21 °C ,Mantova
2020,10,10,Nessuno ,poco nuvoloso ,9 °C ,16 °C ,21 °C ,Mantova
2020,10,11,Pioggia - Temporale  ,temporale e schiarite ,10 °C ,12 °C ,16 °C ,Mantova
2020,10,12,Nessuno ,poco nuvoloso ,9 °C ,11 °C ,17 °C ,Mantova
2020,10,13,Nessuno ,poco nuvoloso ,3 °C ,11 °C ,17 °C ,Mantova
2020,10,14,Pioggia  ,poco nuvoloso ,3 °C ,10 °C ,16 °C ,Mantova
2020,10,15,Pioggia  ,pioggia debole ,9 °C ,10 °C ,13 °C ,Mantova
2020,10,16,Pioggia  ,pioggia e schiarite ,9 °C ,12 °C ,16 °C ,Mantova
2020,10,17,Nebbia  ,nebbia al mattino ,5 °C ,11 °C ,16 °C ,Mantova
2020,10,18,Nessuno ,poco nuvoloso ,6 °C ,11 °C ,18 °C ,Mantova
2020,10,19,Nessuno ,poco nuvoloso ,7 °C ,11 °C ,18 °C ,Mantova
2020,10,20,Nebbia  ,poco nuvoloso ,6 °C ,11 °C ,16 °C ,Mantova
